;M41;M40;M39;M38;M37;M36;M35;M34;M33;M32;M31;M30;M29;M28;M27;M26;M25;M24;M23;M22;M21;M20;M19;M18;M17;M16;M15;M14;M13;M12;M11;M10;M9;M8;M7;M6
478;1,259e-003;2,210e-004;8,226e-005;2,987e-026;4,047e-005;1,497e-004;5,155e-004;1,091e-003;2,007e-003;3,599e-003;7,534e-003;7,211e-003;7,148e-003;1,899e-002;5,336e-002;5,066e-002;4,970e-002;4,432e-002;1,886e-002;1,894e-002;2,145e-003;6,857e-003;5,076e-002;1,096e-003;1,453e-004;2,987e-026;2,709e-002;1,913e-002;1,616e-002;8,383e-003;5,848e-004;5,019e-002;3,863e-002;3,333e-002;1,726e-002;2,523e-003
480;1,454e-003;2,869e-004;8,890e-005;2,991e-026;8,700e-006;1,157e-004;4,123e-004;9,153e-004;1,624e-003;2,943e-003;6,160e-003;5,914e-003;5,852e-003;1,979e-002;6,150e-002;5,912e-002;5,844e-002;5,224e-002;2,236e-002;2,246e-002;2,443e-003;5,605e-003;5,964e-002;1,430e-003;1,677e-004;2,991e-026;3,077e-002;2,199e-002;1,862e-002;9,722e-003;6,985e-004;5,629e-002;4,395e-002;3,804e-002;1,990e-002;2,956e-003
482;1,708e-003;3,584e-004;1,031e-004;2,991e-026;1,608e-005;9,521e-005;3,247e-004;7,513e-004;1,334e-003;2,390e-003;4,993e-003;4,760e-003;4,734e-003;2,083e-002;6,990e-002;6,779e-002;6,737e-002;6,038e-002;2,601e-002;2,613e-002;2,878e-003;4,544e-003;6,861e-002;1,888e-003;2,144e-004;2,991e-026;3,462e-002;2,495e-002;2,116e-002;1,111e-002;8,761e-004;6,290e-002;4,965e-002;4,309e-002;2,269e-002;3,438e-003
484;2,068e-003;4,455e-004;1,023e-004;2,982e-026;2,982e-026;4,355e-005;2,574e-004;6,109e-004;1,061e-003;1,902e-003;3,986e-003;3,834e-003;3,795e-003;2,177e-002;7,769e-002;7,576e-002;7,565e-002;6,799e-002;2,941e-002;2,954e-002;3,450e-003;3,618e-003;7,675e-002;2,484e-003;2,793e-004;2,982e-026;3,813e-002;2,766e-002;2,354e-002;1,241e-002;1,094e-003;6,936e-002;5,519e-002;4,798e-002;2,536e-002;3,951e-003
486;2,479e-003;5,563e-004;1,143e-004;2,974e-026;2,974e-026;2,490e-005;2,055e-004;5,026e-004;8,691e-004;1,549e-003;3,244e-003;3,112e-003;3,080e-003;2,230e-002;8,349e-002;8,171e-002;8,191e-002;7,380e-002;3,203e-002;3,216e-002;4,148e-003;2,938e-003;8,264e-002;3,184e-003;3,349e-004;2,974e-026;4,067e-002;2,967e-002;2,529e-002;1,339e-002;1,333e-003;7,447e-002;5,958e-002;5,187e-002;2,743e-002;4,379e-003
488;3,006e-003;7,018e-004;1,316e-004;2,964e-026;2,964e-026;2,964e-026;1,677e-004;4,081e-004;7,049e-004;1,252e-003;2,642e-003;2,515e-003;2,504e-003;2,239e-002;8,734e-002;8,561e-002;8,619e-002;7,792e-002;3,392e-002;3,408e-002;5,009e-003;2,379e-003;8,636e-002;4,054e-003;4,250e-004;2,964e-026;4,223e-002;3,096e-002;2,646e-002;1,405e-002;1,622e-003;7,820e-002;6,282e-002;5,476e-002;2,892e-002;4,754e-003
490;3,636e-003;8,503e-004;1,631e-004;2,947e-026;2,947e-026;2,947e-026;1,417e-004;3,411e-004;5,509e-004;1,005e-003;2,136e-003;2,051e-003;2,024e-003;2,187e-002;8,863e-002;8,694e-002;8,800e-002;7,990e-002;3,494e-002;3,509e-002;6,038e-003;1,927e-003;8,736e-002;5,118e-003;5,278e-004;2,947e-026;4,258e-002;3,138e-002;2,690e-002;1,433e-002;1,910e-003;8,009e-002;6,454e-002;5,635e-002;2,969e-002;5,040e-003
492;4,395e-003;1,043e-003;2,070e-004;2,924e-026;2,924e-026;2,924e-026;1,007e-004;2,882e-004;4,484e-004;8,119e-004;1,749e-003;1,682e-003;1,639e-003;2,075e-002;8,708e-002;8,546e-002;8,705e-002;7,962e-002;3,515e-002;3,530e-002;7,249e-003;1,572e-003;8,544e-002;6,400e-003;6,370e-004;2,924e-026;4,173e-002;3,096e-002;2,664e-002;1,425e-002;2,188e-003;7,994e-002;6,464e-002;5,652e-002;2,972e-002;5,218e-003
494;5,279e-003;1,248e-003;2,537e-004;2,899e-026;2,899e-026;2,899e-026;7,504e-005;2,568e-004;3,631e-004;6,855e-004;1,423e-003;1,381e-003;1,364e-003;1,916e-002;8,294e-002;8,139e-002;8,368e-002;7,739e-002;3,476e-002;3,494e-002;8,675e-003;1,297e-003;8,090e-002;7,951e-003;7,303e-004;2,899e-026;3,994e-002;2,989e-002;2,584e-002;1,388e-002;2,428e-003;7,796e-002;6,330e-002;5,549e-002;2,916e-002;5,332e-003
496;6,393e-003;1,475e-003;3,040e-004;2,863e-026;2,863e-026;2,863e-026;3,679e-005;2,033e-004;3,011e-004;5,352e-004;1,151e-003;1,110e-003;1,092e-003;1,701e-002;7,566e-002;7,423e-002;7,741e-002;7,310e-002;3,397e-002;3,412e-002;1,047e-002;1,042e-003;7,330e-002;9,994e-003;8,363e-004;2,863e-026;3,720e-002;2,818e-002;2,453e-002;1,325e-002;2,615e-003;7,383e-002;6,043e-002;5,322e-002;2,803e-002;5,362e-003
498;7,543e-003;1,716e-003;3,740e-004;2,826e-026;2,826e-026;2,826e-026;3,081e-005;1,749e-004;2,363e-004;4,349e-004;9,311e-004;9,176e-004;9,082e-004;1,495e-002;6,773e-002;6,641e-002;7,054e-002;6,853e-002;3,338e-002;3,351e-002;1,229e-002;8,548e-004;6,525e-002;1,222e-002;9,440e-004;2,826e-026;3,452e-002;2,655e-002;2,329e-002;1,265e-002;2,728e-003;6,924e-002;5,729e-002;5,076e-002;2,691e-002;5,409e-003
500;8,795e-003;1,922e-003;4,724e-004;2,791e-026;2,791e-026;2,791e-026;3,297e-005;1,484e-004;1,964e-004;3,454e-004;7,613e-004;7,381e-004;7,397e-004;1,308e-002;5,986e-002;5,868e-002;6,386e-002;6,440e-002;3,326e-002;3,338e-002;1,426e-002;6,945e-004;5,745e-002;1,476e-002;1,040e-003;2,791e-026;3,221e-002;2,518e-002;2,227e-002;1,219e-002;2,808e-003;6,482e-002;5,437e-002;4,854e-002;2,600e-002;5,483e-003
502;1,015e-002;2,168e-003;5,926e-004;9,418e-006;2,754e-026;2,754e-026;1,993e-005;1,298e-004;1,618e-004;2,810e-004;6,144e-004;6,054e-004;5,943e-004;1,137e-002;5,246e-002;5,141e-002;5,773e-002;6,100e-002;3,365e-002;3,376e-002;1,632e-002;5,595e-004;5,023e-002;1,760e-002;1,146e-003;2,754e-026;3,026e-002;2,411e-002;2,155e-002;1,186e-002;2,866e-003;6,086e-002;5,186e-002;4,672e-002;2,537e-002;5,621e-003
504;1,154e-002;2,424e-003;7,348e-004;1,935e-005;2,712e-026;2,712e-026;8,252e-006;1,157e-004;1,287e-004;2,230e-004;4,912e-004;4,815e-004;4,740e-004;9,875e-003;4,582e-002;4,491e-002;5,242e-002;5,845e-002;3,457e-002;3,469e-002;1,843e-002;4,410e-004;4,383e-002;2,070e-002;1,279e-003;2,712e-026;2,875e-002;2,335e-002;2,108e-002;1,170e-002;2,935e-003;5,757e-002;4,990e-002;4,539e-002;2,502e-002;5,811e-003
506;1,302e-002;2,733e-003;8,624e-004;4,144e-005;2,672e-026;2,672e-026;2,407e-006;8,719e-005;1,010e-004;1,852e-004;3,891e-004;3,848e-004;3,743e-004;8,613e-003;4,007e-002;3,926e-002;4,804e-002;5,683e-002;3,595e-002;3,608e-002;2,058e-002;3,525e-004;3,831e-002;2,399e-002;1,452e-003;2,672e-026;2,764e-002;2,288e-002;2,086e-002;1,168e-002;3,036e-003;5,504e-002;4,856e-002;4,462e-002;2,498e-002;6,072e-003
508;1,456e-002;3,083e-003;1,058e-003;3,890e-005;2,622e-026;2,622e-026;1,682e-007;6,828e-005;6,771e-005;1,373e-004;3,114e-004;3,000e-004;2,944e-004;7,390e-003;3,458e-002;3,389e-002;4,403e-002;5,566e-002;3,765e-002;3,777e-002;2,277e-002;2,643e-004;3,304e-002;2,747e-002;1,668e-003;2,622e-026;2,666e-002;2,252e-002;2,077e-002;1,172e-002;3,178e-003;5,283e-002;4,753e-002;4,413e-002;2,509e-002;6,390e-003
510;1,610e-002;3,488e-003;1,262e-003;7,239e-005;2,574e-026;2,574e-026;6,817e-008;6,751e-005;5,435e-005;9,613e-005;2,299e-004;2,173e-004;2,325e-004;6,331e-003;2,985e-002;2,927e-002;4,065e-002;5,495e-002;3,939e-002;3,950e-002;2,489e-002;2,135e-004;2,850e-002;3,072e-002;1,930e-003;2,574e-026;2,592e-002;2,233e-002;2,080e-002;1,184e-002;3,336e-003;5,118e-002;4,688e-002;4,399e-002;2,537e-002;6,733e-003
512;1,758e-002;3,882e-003;1,499e-003;8,540e-005;2,533e-026;2,533e-026;1,944e-007;6,433e-005;3,800e-005;6,392e-005;1,731e-004;1,803e-004;1,715e-004;5,448e-003;2,588e-002;2,535e-002;3,780e-002;5,446e-002;4,092e-002;4,107e-002;2,684e-002;1,499e-004;2,465e-002;3,353e-002;2,229e-003;2,533e-026;2,536e-002;2,225e-002;2,093e-002;1,204e-002;3,520e-003;4,995e-002;4,655e-002;4,411e-002;2,579e-002;7,099e-003
514;1,899e-002;4,310e-003;1,740e-003;1,182e-004;2,490e-026;2,490e-026;2,490e-026;5,768e-005;2,973e-005;3,997e-005;1,351e-004;1,258e-004;1,267e-004;4,633e-003;2,225e-002;2,178e-002;3,505e-002;5,373e-002;4,204e-002;4,220e-002;2,862e-002;1,101e-004;2,115e-002;3,573e-002;2,546e-003;2,490e-026;2,480e-002;2,219e-002;2,107e-002;1,226e-002;3,710e-003;4,878e-002;4,628e-002;4,426e-002;2,621e-002;7,467e-003
516;2,032e-002;4,743e-003;1,984e-003;1,419e-004;2,445e-026;2,445e-026;2,445e-026;4,340e-005;2,798e-005;2,776e-005;9,815e-005;9,654e-005;9,428e-005;3,927e-003;1,899e-002;1,860e-002;3,239e-002;5,261e-002;4,257e-002;4,275e-002;3,023e-002;7,939e-005;1,801e-002;3,717e-002;2,893e-003;2,445e-026;2,426e-002;2,213e-002;2,119e-002;1,250e-002;3,884e-003;4,767e-002;4,606e-002;4,444e-002;2,662e-002;7,838e-003
518;2,159e-002;5,209e-003;2,251e-003;1,636e-004;2,404e-026;2,404e-026;2,404e-026;2,504e-005;1,434e-005;1,545e-005;6,850e-005;7,037e-005;6,306e-005;3,303e-003;1,616e-002;1,583e-002;2,978e-002;5,108e-002;4,247e-002;4,266e-002;3,174e-002;4,960e-005;1,529e-002;3,781e-002;3,259e-003;2,404e-026;2,375e-002;2,208e-002;2,132e-002;1,275e-002;4,063e-003;4,665e-002;4,594e-002;4,468e-002;2,708e-002;8,216e-003
520;2,279e-002;5,661e-003;2,533e-003;2,047e-004;2,357e-026;2,357e-026;2,357e-026;3,583e-005;1,788e-005;1,046e-005;4,862e-005;3,910e-005;3,075e-005;2,754e-003;1,358e-002;1,328e-002;2,707e-002;4,876e-002;4,148e-002;4,164e-002;3,307e-002;2,419e-005;1,283e-002;3,740e-002;3,648e-003;2,357e-026;2,317e-002;2,200e-002;2,143e-002;1,301e-002;4,241e-003;4,551e-002;4,576e-002;4,485e-002;2,750e-002;8,600e-003
522;2,391e-002;6,125e-003;2,814e-003;2,314e-004;2,315e-026;2,315e-026;2,315e-026;3,427e-005;2,315e-026;6,005e-006;2,289e-005;8,310e-006;1,724e-005;2,294e-003;1,141e-002;1,117e-002;2,437e-002;4,583e-002;3,966e-002;3,983e-002;3,427e-002;2,267e-006;1,078e-002;3,604e-002;4,052e-003;2,315e-026;2,260e-002;2,193e-002;2,150e-002;1,330e-002;4,420e-003;4,441e-002;4,561e-002;4,503e-002;2,790e-002;8,990e-003
524;2,485e-002;6,582e-003;3,089e-003;2,593e-004;2,281e-026;2,281e-026;2,281e-026;1,830e-005;1,151e-006;9,716e-006;7,082e-006;2,281e-026;2,281e-026;1,958e-003;9,746e-003;9,545e-003;2,196e-002;4,267e-002;3,737e-002;3,752e-002;3,526e-002;2,281e-026;9,198e-003;3,410e-002;4,455e-003;2,281e-026;2,209e-002;2,187e-002;2,157e-002;1,356e-002;4,592e-003;4,346e-002;4,554e-002;4,525e-002;2,830e-002;9,347e-003
526;2,569e-002;7,021e-003;3,361e-003;2,856e-004;2,251e-026;2,251e-026;2,251e-026;1,619e-005;1,641e-006;2,251e-026;4,279e-006;2,251e-026;2,251e-026;1,664e-003;8,346e-003;8,161e-003;1,964e-002;3,921e-002;3,464e-002;3,481e-002;3,611e-002;2,251e-026;7,867e-003;3,168e-002;4,844e-003;2,251e-026;2,158e-002;2,178e-002;2,162e-002;1,379e-002;4,755e-003;4,251e-002;4,544e-002;4,543e-002;2,866e-002;9,703e-003
528;2,646e-002;7,463e-003;3,646e-003;3,106e-004;2,227e-026;2,227e-026;2,227e-026;1,405e-005;6,243e-007;3,626e-006;2,227e-026;2,227e-026;2,227e-026;1,409e-003;7,170e-003;7,004e-003;1,751e-002;3,567e-002;3,174e-002;3,188e-002;3,687e-002;2,227e-026;6,750e-003;2,905e-002;5,238e-003;2,227e-026;2,111e-002;2,170e-002;2,166e-002;1,401e-002;4,912e-003;4,165e-002;4,540e-002;4,562e-002;2,902e-002;1,004e-002
530;2,716e-002;7,890e-003;3,916e-003;3,339e-004;2,207e-026;2,207e-026;2,207e-026;1,645e-005;2,125e-007;1,235e-006;2,207e-026;2,207e-026;2,207e-026;1,183e-003;6,164e-003;6,019e-003;1,553e-002;3,219e-002;2,878e-002;2,893e-002;3,753e-002;2,207e-026;5,797e-003;2,637e-002;5,624e-003;2,207e-026;2,065e-002;2,162e-002;2,170e-002;1,419e-002;5,065e-003;4,082e-002;4,534e-002;4,580e-002;2,935e-002;1,036e-002
532;2,777e-002;8,344e-003;4,199e-003;3,747e-004;2,188e-026;2,188e-026;2,188e-026;4,481e-006;2,188e-026;1,040e-005;2,188e-026;2,188e-026;2,188e-026;1,001e-003;5,230e-003;5,120e-003;1,360e-002;2,861e-002;2,571e-002;2,584e-002;3,804e-002;2,188e-026;4,928e-003;2,358e-002;6,038e-003;2,188e-026;2,018e-002;2,150e-002;2,169e-002;1,435e-002;5,210e-003;3,994e-002;4,520e-002;4,590e-002;2,964e-002;1,068e-002
534;2,837e-002;8,802e-003;4,488e-003;3,867e-004;2,174e-026;2,174e-026;2,174e-026;3,806e-006;2,174e-026;2,174e-026;2,174e-026;2,174e-026;2,174e-026;8,387e-004;4,442e-003;4,352e-003;1,190e-002;2,536e-002;2,290e-002;2,301e-002;3,851e-002;2,174e-026;4,168e-003;2,103e-002;6,453e-003;2,174e-026;1,976e-002;2,140e-002;2,171e-002;1,449e-002;5,350e-003;3,917e-002;4,511e-002;4,604e-002;2,996e-002;1,099e-002
536;2,891e-002;9,222e-003;4,768e-003;4,194e-004;2,165e-026;4,017e-006;2,165e-026;7,841e-006;2,165e-026;4,349e-006;2,165e-026;2,165e-026;2,165e-026;7,036e-004;3,799e-003;3,721e-003;1,048e-002;2,261e-002;2,050e-002;2,060e-002;3,887e-002;2,165e-026;3,557e-003;1,886e-002;6,840e-003;2,165e-026;1,941e-002;2,132e-002;2,173e-002;1,462e-002;5,483e-003;3,851e-002;4,503e-002;4,617e-002;3,025e-002;1,126e-002
538;2,943e-002;9,659e-003;5,049e-003;4,537e-004;2,160e-026;5,458e-006;2,160e-026;2,160e-026;2,160e-026;5,908e-006;2,160e-026;2,160e-026;2,160e-026;5,768e-004;3,237e-003;3,184e-003;9,240e-003;2,015e-002;1,835e-002;1,844e-002;3,920e-002;2,160e-026;3,032e-003;1,689e-002;7,247e-003;2,160e-026;1,910e-002;2,128e-002;2,179e-002;1,476e-002;5,607e-003;3,795e-002;4,499e-002;4,635e-002;3,057e-002;1,154e-002
540;2,994e-002;1,009e-002;5,327e-003;4,660e-004;2,157e-026;3,009e-006;2,157e-026;2,360e-006;2,157e-026;1,349e-005;2,157e-026;2,157e-026;2,157e-026;4,874e-004;2,774e-003;2,725e-003;8,131e-003;1,792e-002;1,639e-002;1,647e-002;3,947e-002;2,157e-026;2,586e-003;1,511e-002;7,656e-003;2,157e-026;1,883e-002;2,123e-002;2,184e-002;1,489e-002;5,736e-003;3,743e-002;4,497e-002;4,655e-002;3,089e-002;1,182e-002
542;3,043e-002;1,054e-002;5,624e-003;4,823e-004;2,154e-026;1,140e-006;2,154e-026;7,055e-006;2,154e-026;1,886e-005;2,154e-026;2,154e-026;2,154e-026;4,130e-004;2,382e-003;2,334e-003;7,155e-003;1,592e-002;1,457e-002;1,467e-002;3,967e-002;2,154e-026;2,202e-003;1,346e-002;8,066e-003;2,154e-026;1,856e-002;2,119e-002;2,190e-002;1,504e-002;5,868e-003;3,694e-002;4,493e-002;4,672e-002;3,122e-002;1,210e-002
544;3,095e-002;1,103e-002;5,951e-003;5,268e-004;4,574e-007;1,945e-005;2,151e-026;4,030e-007;2,151e-026;8,408e-006;2,151e-026;2,151e-026;2,151e-026;3,399e-004;2,026e-003;1,979e-003;6,180e-003;1,396e-002;1,281e-002;1,289e-002;3,983e-002;2,151e-026;1,854e-003;1,183e-002;8,533e-003;2,151e-026;1,831e-002;2,115e-002;2,196e-002;1,519e-002;6,005e-003;3,644e-002;4,490e-002;4,691e-002;3,156e-002;1,241e-002
546;3,146e-002;1,154e-002;6,293e-003;5,630e-004;6,842e-006;1,048e-005;2,154e-026;2,154e-026;2,154e-026;1,192e-005;2,154e-026;2,154e-026;2,154e-026;2,729e-004;1,734e-003;1,689e-003;5,390e-003;1,225e-002;1,126e-002;1,134e-002;3,995e-002;2,154e-026;1,583e-003;1,040e-002;9,007e-003;2,154e-026;1,810e-002;2,113e-002;2,205e-002;1,538e-002;6,143e-003;3,603e-002;4,490e-002;4,714e-002;3,195e-002;1,272e-002
548;3,199e-002;1,204e-002;6,631e-003;5,974e-004;9,970e-006;1,539e-005;4,356e-006;5,717e-007;2,158e-026;2,442e-005;2,158e-026;2,158e-026;2,158e-026;2,366e-004;1,502e-003;1,463e-003;4,712e-003;1,080e-002;9,931e-003;9,993e-003;4,005e-002;2,158e-026;1,364e-003;9,161e-003;9,492e-003;2,158e-026;1,793e-002;2,112e-002;2,216e-002;1,555e-002;6,292e-003;3,568e-002;4,493e-002;4,739e-002;3,235e-002;1,304e-002
550;3,251e-002;1,257e-002;6,985e-003;6,346e-004;1,417e-005;1,662e-005;8,735e-006;8,518e-006;2,872e-006;2,427e-005;2,166e-026;2,166e-026;2,166e-026;2,070e-004;1,306e-003;1,265e-003;4,123e-003;9,466e-003;8,731e-003;8,787e-003;4,014e-002;2,166e-026;1,177e-003;8,041e-003;9,999e-003;2,166e-026;1,777e-002;2,113e-002;2,227e-002;1,575e-002;6,441e-003;3,536e-002;4,497e-002;4,767e-002;3,277e-002;1,337e-002
552;3,300e-002;1,310e-002;7,343e-003;6,758e-004;2,819e-005;2,521e-005;6,781e-006;1,450e-005;8,316e-006;3,601e-005;1,168e-005;2,173e-026;2,173e-026;1,839e-004;1,134e-003;1,103e-003;3,593e-003;8,278e-003;7,641e-003;7,695e-003;4,013e-002;2,173e-026;1,009e-003;7,042e-003;1,051e-002;2,173e-026;1,760e-002;2,112e-002;2,236e-002;1,592e-002;6,595e-003;3,503e-002;4,496e-002;4,790e-002;3,316e-002;1,370e-002
554;3,349e-002;1,365e-002;7,719e-003;7,200e-004;1,809e-005;2,497e-005;1,969e-005;2,376e-005;2,073e-005;3,197e-005;1,508e-005;2,182e-026;2,182e-026;1,599e-004;9,984e-004;9,596e-004;3,113e-003;7,252e-003;6,687e-003;6,739e-003;4,007e-002;2,182e-026;8,650e-004;6,147e-003;1,105e-002;2,793e-006;1,744e-002;2,111e-002;2,247e-002;1,611e-002;6,753e-003;3,469e-002;4,493e-002;4,813e-002;3,357e-002;1,402e-002
556;3,398e-002;1,426e-002;8,146e-003;7,698e-004;2,980e-005;3,997e-005;3,961e-005;2,318e-005;4,467e-005;4,596e-005;4,067e-005;2,192e-026;2,192e-026;1,294e-004;8,497e-004;8,198e-004;2,643e-003;6,232e-003;5,751e-003;5,783e-003;3,988e-002;2,192e-026;7,243e-004;5,281e-003;1,166e-002;1,172e-005;1,722e-002;2,104e-002;2,254e-002;1,629e-002;6,923e-003;3,425e-002;4,483e-002;4,831e-002;3,397e-002;1,441e-002
558;3,449e-002;1,485e-002;8,574e-003;8,127e-004;3,835e-005;4,613e-005;4,521e-005;5,435e-005;5,098e-005;7,174e-005;6,091e-005;2,206e-026;2,206e-026;1,304e-004;7,492e-004;7,091e-004;2,306e-003;5,459e-003;5,032e-003;5,073e-003;3,975e-002;2,206e-026;6,218e-004;4,622e-003;1,224e-002;1,585e-005;1,708e-002;2,102e-002;2,265e-002;1,650e-002;7,090e-003;3,394e-002;4,479e-002;4,855e-002;3,440e-002;1,477e-002
560;3,498e-002;1,546e-002;9,006e-003;8,699e-004;5,286e-005;6,084e-005;6,004e-005;6,939e-005;6,742e-005;9,190e-005;8,965e-005;2,222e-026;2,222e-026;1,162e-004;6,680e-004;6,201e-004;2,018e-003;4,775e-003;4,422e-003;4,455e-003;3,958e-002;2,222e-026;5,342e-004;4,055e-003;1,284e-002;3,204e-005;1,693e-002;2,100e-002;2,276e-002;1,670e-002;7,267e-003;3,362e-002;4,475e-002;4,879e-002;3,483e-002;1,514e-002
562;3,549e-002;1,609e-002;9,444e-003;9,317e-004;6,859e-005;8,505e-005;6,976e-005;8,626e-005;9,202e-005;1,178e-004;1,219e-004;2,241e-026;2,241e-026;1,183e-004;5,961e-004;5,377e-004;1,752e-003;4,183e-003;3,873e-003;3,909e-003;3,936e-002;2,241e-026;4,539e-004;3,557e-003;1,347e-002;5,094e-005;1,678e-002;2,098e-002;2,287e-002;1,689e-002;7,450e-003;3,330e-002;4,469e-002;4,902e-002;3,526e-002;1,552e-002
564;3,600e-002;1,673e-002;9,904e-003;9,930e-004;9,845e-005;1,130e-004;9,883e-005;1,176e-004;1,244e-004;1,496e-004;1,597e-004;1,625e-005;2,263e-026;1,203e-004;5,312e-004;4,704e-004;1,544e-003;3,681e-003;3,408e-003;3,443e-003;3,910e-002;2,108e-006;3,885e-004;3,121e-003;1,411e-002;7,421e-005;1,663e-002;2,095e-002;2,298e-002;1,711e-002;7,638e-003;3,298e-002;4,463e-002;4,925e-002;3,571e-002;1,592e-002
566;3,650e-002;1,740e-002;1,039e-002;1,053e-003;1,205e-004;1,330e-004;1,481e-004;1,488e-004;1,604e-004;1,862e-004;2,053e-004;3,783e-005;1,437e-006;1,194e-004;4,844e-004;4,204e-004;1,319e-003;3,201e-003;2,974e-003;2,998e-003;3,877e-002;1,651e-005;3,239e-004;2,707e-003;1,478e-002;1,053e-004;1,645e-002;2,090e-002;2,307e-002;1,732e-002;7,829e-003;3,260e-002;4,450e-002;4,944e-002;3,616e-002;1,634e-002
568;3,695e-002;1,808e-002;1,091e-002;1,164e-003;1,700e-004;1,664e-004;1,824e-004;2,043e-004;2,089e-004;2,430e-004;2,751e-004;6,808e-005;2,453e-005;1,153e-004;4,326e-004;3,608e-004;1,154e-003;2,768e-003;2,567e-003;2,599e-003;3,835e-002;4,050e-005;2,741e-004;2,353e-003;1,545e-002;1,423e-004;1,625e-002;2,082e-002;2,315e-002;1,752e-002;8,021e-003;3,218e-002;4,434e-002;4,958e-002;3,658e-002;1,675e-002
570;3,741e-002;1,873e-002;1,140e-002;1,253e-003;2,344e-004;2,230e-004;2,514e-004;2,508e-004;2,735e-004;3,100e-004;3,462e-004;8,456e-005;4,134e-005;1,278e-004;4,116e-004;3,284e-004;1,012e-003;2,424e-003;2,264e-003;2,273e-003;3,797e-002;5,718e-005;2,453e-004;2,053e-003;1,611e-002;1,997e-004;1,608e-002;2,077e-002;2,323e-002;1,773e-002;8,216e-003;3,182e-002;4,419e-002;4,976e-002;3,701e-002;1,716e-002
572;3,784e-002;1,938e-002;1,191e-002;1,378e-003;3,090e-004;2,941e-004;3,166e-004;3,368e-004;3,434e-004;3,744e-004;4,414e-004;1,002e-004;6,846e-005;1,400e-004;3,949e-004;2,884e-004;8,810e-004;2,134e-003;1,985e-003;2,000e-003;3,755e-002;6,435e-005;2,028e-004;1,793e-003;1,673e-002;2,727e-004;1,589e-002;2,071e-002;2,332e-002;1,791e-002;8,412e-003;3,145e-002;4,403e-002;4,990e-002;3,741e-002;1,757e-002
574;3,824e-002;2,000e-002;1,242e-002;1,513e-003;4,000e-004;3,866e-004;4,024e-004;4,261e-004;4,572e-004;4,805e-004;5,577e-004;1,375e-004;9,165e-005;1,527e-004;3,734e-004;2,537e-004;7,766e-004;1,871e-003;1,737e-003;1,742e-003;3,710e-002;8,570e-005;1,735e-004;1,567e-003;1,735e-002;3,585e-004;1,572e-002;2,064e-002;2,338e-002;1,811e-002;8,605e-003;3,107e-002;4,385e-002;5,004e-002;3,781e-002;1,798e-002
576;3,860e-002;2,060e-002;1,294e-002;1,662e-003;5,113e-004;4,998e-004;5,201e-004;5,599e-004;5,685e-004;6,045e-004;6,933e-004;1,739e-004;1,193e-004;1,662e-004;3,646e-004;2,369e-004;6,845e-004;1,645e-003;1,529e-003;1,542e-003;3,660e-002;1,059e-004;1,709e-004;1,367e-003;1,796e-002;4,728e-004;1,554e-002;2,057e-002;2,345e-002;1,831e-002;8,817e-003;3,068e-002;4,367e-002;5,015e-002;3,821e-002;1,842e-002
