;O Clear;O 181 Congo R;O 71 Tokyo Blue R;O 120 Deep Blue R;O 119 Dark Blue R;O 115 Peacock R;O 090 Dark Y G R;O 139 P Green R;O 101 Yellow R;O 158 Deep Orange R;O 022 Dark Amber R;O 019 Fire R;O 106 P Red R;O 126 Mauve R;O 170 Deep Lav R;O 137 Special Lav R;O 117 Steel Blue R;O 088 Lime Green R;O 156 Chocoloate R;O 652 U Sodium R;O 111 Dark Pink R;O 200 Double CTB R;O 204 Full CTO R;O 180 Dark Lav R;O 174 Dark Steel B R
646;2,25E-03;8,60E-06;2,19E-27;2,19E-27;2,19E-27;3,35E-05;6,12E-08;2,19E-27;2,03E-03;1,92E-03;1,90E-03;1,94E-03;1,46E-03;8,16E-04;1,10E-03;1,02E-03;7,48E-04;1,11E-03;9,24E-04;1,12E-03;1,96E-03;2,25E-04;2,09E-03;4,11E-04;7,30E-04
648;2,17E-03;1,35E-05;2,24E-27;2,24E-27;2,24E-27;3,17E-05;8,06E-07;2,24E-27;1,96E-03;1,86E-03;1,85E-03;1,89E-03;1,43E-03;8,65E-04;1,11E-03;1,06E-03;7,33E-04;1,06E-03;9,05E-04;1,08E-03;1,90E-03;2,25E-04;2,01E-03;4,69E-04;7,72E-04
650;2,10E-03;1,61E-05;2,28E-27;2,28E-27;2,28E-27;3,21E-05;3,98E-07;2,28E-27;1,90E-03;1,80E-03;1,81E-03;1,84E-03;1,40E-03;9,06E-04;1,13E-03;1,10E-03;7,18E-04;1,01E-03;8,83E-04;1,05E-03;1,84E-03;2,22E-04;1,95E-03;5,26E-04;8,10E-04
652;2,04E-03;2,12E-05;2,33E-27;2,33E-27;2,33E-27;2,99E-05;1,37E-06;2,33E-27;1,85E-03;1,75E-03;1,76E-03;1,80E-03;1,38E-03;9,46E-04;1,14E-03;1,13E-03;6,97E-04;9,65E-04;8,57E-04;1,02E-03;1,79E-03;2,18E-04;1,88E-03;5,80E-04;8,43E-04
654;1,97E-03;2,52E-05;2,37E-27;2,37E-27;2,37E-27;2,83E-05;2,00E-06;2,37E-27;1,79E-03;1,70E-03;1,71E-03;1,75E-03;1,35E-03;9,82E-04;1,15E-03;1,16E-03;6,74E-04;9,16E-04;8,26E-04;9,89E-04;1,74E-03;2,12E-04;1,82E-03;6,37E-04;8,70E-04
656;1,91E-03;3,05E-05;2,42E-27;2,42E-27;2,42E-27;2,74E-05;6,18E-07;2,42E-27;1,74E-03;1,66E-03;1,66E-03;1,70E-03;1,33E-03;1,01E-03;1,16E-03;1,18E-03;6,44E-04;8,62E-04;7,91E-04;9,54E-04;1,69E-03;2,05E-04;1,75E-03;6,94E-04;8,90E-04
658;1,84E-03;3,16E-05;2,47E-27;2,47E-27;2,47E-27;2,38E-05;7,96E-07;7,81E-08;1,67E-03;1,60E-03;1,61E-03;1,65E-03;1,29E-03;1,04E-03;1,16E-03;1,20E-03;6,04E-04;8,01E-04;7,45E-04;9,18E-04;1,63E-03;1,92E-04;1,68E-03;7,51E-04;9,04E-04
660;1,78E-03;3,63E-05;2,51E-27;2,51E-27;1,97E-07;2,19E-05;1,80E-06;6,68E-07;1,62E-03;1,56E-03;1,56E-03;1,60E-03;1,27E-03;1,06E-03;1,17E-03;1,21E-03;5,65E-04;7,48E-04;7,04E-04;8,81E-04;1,59E-03;1,79E-04;1,62E-03;7,96E-04;9,08E-04
662;1,72E-03;3,86E-05;2,56E-27;2,56E-27;2,18E-07;2,02E-05;3,17E-06;9,99E-07;1,56E-03;1,51E-03;1,50E-03;1,54E-03;1,24E-03;1,07E-03;1,16E-03;1,22E-03;5,25E-04;6,94E-04;6,59E-04;8,45E-04;1,54E-03;1,66E-04;1,56E-03;8,36E-04;9,04E-04
664;1,67E-03;4,07E-05;2,60E-27;1,32E-06;7,84E-07;1,75E-05;1,06E-06;9,06E-07;1,51E-03;1,46E-03;1,45E-03;1,49E-03;1,21E-03;1,08E-03;1,16E-03;1,22E-03;4,82E-04;6,42E-04;6,14E-04;8,07E-04;1,49E-03;1,52E-04;1,50E-03;8,67E-04;8,93E-04
666;1,60E-03;4,00E-05;2,65E-27;1,76E-06;7,21E-07;1,57E-05;1,52E-06;1,85E-06;1,45E-03;1,41E-03;1,39E-03;1,43E-03;1,17E-03;1,07E-03;1,14E-03;1,21E-03;4,40E-04;5,90E-04;5,70E-04;7,68E-04;1,43E-03;1,38E-04;1,44E-03;8,94E-04;8,77E-04
668;1,54E-03;3,93E-05;2,70E-27;3,36E-06;2,70E-27;1,37E-05;1,66E-06;1,72E-06;1,39E-03;1,36E-03;1,33E-03;1,36E-03;1,13E-03;1,07E-03;1,13E-03;1,20E-03;4,04E-04;5,47E-04;5,29E-04;7,30E-04;1,38E-03;1,25E-04;1,38E-03;9,11E-04;8,57E-04
670;1,48E-03;3,97E-05;2,75E-27;3,89E-06;2,75E-27;1,25E-05;2,72E-06;2,07E-06;1,33E-03;1,30E-03;1,28E-03;1,31E-03;1,09E-03;1,05E-03;1,11E-03;1,18E-03;3,77E-04;5,12E-04;4,96E-04;6,98E-04;1,33E-03;1,17E-04;1,32E-03;9,21E-04;8,38E-04
672;1,42E-03;4,10E-05;2,80E-27;4,32E-06;2,80E-27;1,23E-05;1,14E-06;1,44E-06;1,27E-03;1,25E-03;1,22E-03;1,25E-03;1,06E-03;1,03E-03;1,09E-03;1,16E-03;3,53E-04;4,81E-04;4,67E-04;6,67E-04;1,28E-03;1,09E-04;1,27E-03;9,24E-04;8,15E-04
674;1,36E-03;4,03E-05;2,85E-27;4,43E-06;2,85E-27;1,00E-05;1,09E-06;3,18E-06;1,22E-03;1,20E-03;1,17E-03;1,19E-03;1,02E-03;1,01E-03;1,06E-03;1,14E-03;3,34E-04;4,55E-04;4,43E-04;6,40E-04;1,23E-03;1,03E-04;1,21E-03;9,19E-04;7,92E-04
676;1,29E-03;3,87E-05;2,90E-27;4,65E-06;2,90E-27;1,03E-05;8,29E-07;3,29E-06;1,15E-03;1,13E-03;1,12E-03;1,13E-03;9,73E-04;9,82E-04;1,03E-03;1,10E-03;3,20E-04;4,32E-04;4,20E-04;6,09E-04;1,17E-03;9,83E-05;1,15E-03;9,06E-04;7,68E-04
678;1,23E-03;3,98E-05;2,95E-27;6,60E-06;2,95E-27;1,09E-05;2,35E-06;3,22E-06;1,10E-03;1,08E-03;1,07E-03;1,08E-03;9,35E-04;9,54E-04;1,00E-03;1,07E-03;3,11E-04;4,18E-04;4,05E-04;5,86E-04;1,12E-03;9,44E-05;1,11E-03;8,91E-04;7,46E-04
680;1,18E-03;3,95E-05;3,01E-27;7,80E-06;3,01E-27;1,10E-05;9,27E-07;9,48E-07;1,05E-03;1,03E-03;1,02E-03;1,03E-03;8,99E-04;9,23E-04;9,72E-04;1,04E-03;3,10E-04;4,07E-04;3,96E-04;5,65E-04;1,07E-03;9,54E-05;1,06E-03;8,73E-04;7,28E-04
682;1,12E-03;4,12E-05;3,07E-27;9,14E-06;3,07E-27;1,12E-05;3,07E-27;2,10E-06;1,00E-03;9,83E-04;9,77E-04;9,79E-04;8,60E-04;8,91E-04;9,37E-04;9,97E-04;3,11E-04;4,00E-04;3,91E-04;5,47E-04;1,02E-03;9,59E-05;1,01E-03;8,53E-04;7,07E-04
684;1,06E-03;4,45E-05;3,13E-27;1,19E-05;1,41E-06;1,04E-05;3,13E-27;3,12E-06;9,47E-04;9,29E-04;9,31E-04;9,29E-04;8,19E-04;8,56E-04;8,98E-04;9,53E-04;3,14E-04;4,00E-04;3,87E-04;5,29E-04;9,62E-04;9,89E-05;9,64E-04;8,24E-04;6,88E-04
686;1,01E-03;5,08E-05;3,19E-27;1,43E-05;4,13E-06;1,24E-05;3,19E-27;2,08E-06;8,99E-04;8,80E-04;8,87E-04;8,85E-04;7,83E-04;8,21E-04;8,59E-04;9,10E-04;3,21E-04;4,01E-04;3,89E-04;5,17E-04;9,13E-04;1,05E-04;9,19E-04;7,96E-04;6,70E-04
688;9,53E-04;5,80E-05;3,26E-27;1,82E-05;7,85E-06;1,57E-05;3,26E-27;1,29E-06;8,56E-04;8,38E-04;8,44E-04;8,44E-04;7,50E-04;7,89E-04;8,21E-04;8,67E-04;3,28E-04;4,05E-04;3,93E-04;5,06E-04;8,67E-04;1,14E-04;8,77E-04;7,70E-04;6,53E-04
690;9,04E-04;6,62E-05;3,33E-27;2,42E-05;1,25E-05;1,68E-05;3,33E-27;6,91E-07;8,14E-04;7,95E-04;8,05E-04;8,03E-04;7,18E-04;7,56E-04;7,85E-04;8,23E-04;3,36E-04;4,07E-04;3,97E-04;4,95E-04;8,21E-04;1,21E-04;8,36E-04;7,40E-04;6,39E-04
692;8,53E-04;7,38E-05;7,48E-08;3,13E-05;1,69E-05;2,05E-05;3,40E-27;5,54E-08;7,70E-04;7,55E-04;7,62E-04;7,63E-04;6,84E-04;7,20E-04;7,44E-04;7,80E-04;3,39E-04;4,10E-04;4,02E-04;4,83E-04;7,78E-04;1,28E-04;7,96E-04;7,09E-04;6,22E-04
694;8,04E-04;8,32E-05;7,12E-07;4,15E-05;2,14E-05;2,47E-05;3,48E-27;3,48E-27;7,26E-04;7,11E-04;7,18E-04;7,23E-04;6,48E-04;6,84E-04;7,01E-04;7,35E-04;3,44E-04;4,12E-04;4,06E-04;4,71E-04;7,32E-04;1,39E-04;7,55E-04;6,76E-04;6,01E-04
696;7,60E-04;9,50E-05;3,56E-27;5,13E-05;2,94E-05;2,76E-05;3,56E-27;3,56E-27;6,90E-04;6,76E-04;6,79E-04;6,87E-04;6,18E-04;6,51E-04;6,65E-04;6,92E-04;3,43E-04;4,11E-04;4,06E-04;4,58E-04;6,90E-04;1,48E-04;7,13E-04;6,44E-04;5,81E-04
698;7,15E-04;1,05E-04;1,60E-06;6,19E-05;3,66E-05;3,19E-05;3,64E-27;3,64E-27;6,55E-04;6,41E-04;6,41E-04;6,52E-04;5,87E-04;6,18E-04;6,28E-04;6,51E-04;3,41E-04;4,07E-04;4,07E-04;4,46E-04;6,50E-04;1,53E-04;6,74E-04;6,16E-04;5,61E-04
700;6,73E-04;1,16E-04;5,03E-06;7,29E-05;4,61E-05;3,62E-05;1,51E-08;3,72E-27;6,17E-04;6,07E-04;6,04E-04;6,16E-04;5,59E-04;5,86E-04;5,95E-04;6,12E-04;3,38E-04;3,99E-04;4,03E-04;4,30E-04;6,14E-04;1,59E-04;6,39E-04;5,85E-04;5,38E-04
702;6,33E-04;1,28E-04;6,10E-06;8,68E-05;5,48E-05;3,96E-05;4,07E-07;3,81E-27;5,78E-04;5,70E-04;5,61E-04;5,77E-04;5,28E-04;5,53E-04;5,53E-04;5,70E-04;3,29E-04;3,90E-04;3,96E-04;4,10E-04;5,74E-04;1,68E-04;5,96E-04;5,48E-04;5,11E-04
704;5,97E-04;1,41E-04;7,67E-06;9,84E-05;6,39E-05;4,29E-05;3,90E-27;3,90E-27;5,47E-04;5,37E-04;5,29E-04;5,44E-04;4,98E-04;5,24E-04;5,20E-04;5,33E-04;3,22E-04;3,79E-04;3,87E-04;3,96E-04;5,40E-04;1,70E-04;5,63E-04;5,19E-04;4,88E-04
706;5,61E-04;1,48E-04;1,21E-05;1,08E-04;7,22E-05;4,70E-05;8,15E-07;3,99E-27;5,17E-04;5,08E-04;4,97E-04;5,12E-04;4,70E-04;4,95E-04;4,87E-04;5,02E-04;3,13E-04;3,65E-04;3,77E-04;3,80E-04;5,10E-04;1,74E-04;5,30E-04;4,93E-04;4,64E-04
708;5,27E-04;1,54E-04;1,49E-05;1,16E-04;7,95E-05;5,19E-05;3,97E-07;4,08E-27;4,89E-04;4,80E-04;4,67E-04;4,84E-04;4,46E-04;4,64E-04;4,60E-04;4,68E-04;3,05E-04;3,52E-04;3,66E-04;3,66E-04;4,79E-04;1,77E-04;4,94E-04;4,66E-04;4,41E-04
710;4,93E-04;1,63E-04;1,89E-05;1,27E-04;8,78E-05;5,51E-05;5,48E-06;4,19E-27;4,53E-04;4,48E-04;4,36E-04;4,48E-04;4,16E-04;4,35E-04;4,31E-04;4,32E-04;2,91E-04;3,39E-04;3,49E-04;3,45E-04;4,44E-04;1,74E-04;4,59E-04;4,34E-04;4,14E-04
712;4,62E-04;1,68E-04;2,35E-05;1,34E-04;9,44E-05;5,47E-05;6,63E-06;4,30E-27;4,28E-04;4,20E-04;4,10E-04;4,23E-04;3,93E-04;4,10E-04;4,03E-04;4,05E-04;2,82E-04;3,24E-04;3,38E-04;3,31E-04;4,21E-04;1,77E-04;4,32E-04;4,11E-04;3,94E-04
714;4,34E-04;1,69E-04;2,78E-05;1,40E-04;9,93E-05;5,99E-05;1,03E-05;4,41E-27;4,05E-04;3,97E-04;3,85E-04;3,97E-04;3,71E-04;3,88E-04;3,78E-04;3,80E-04;2,71E-04;3,09E-04;3,26E-04;3,16E-04;3,98E-04;1,74E-04;4,04E-04;3,87E-04;3,74E-04
716;4,08E-04;1,72E-04;3,11E-05;1,43E-04;1,04E-04;6,30E-05;1,29E-05;4,53E-27;3,77E-04;3,75E-04;3,65E-04;3,73E-04;3,50E-04;3,64E-04;3,57E-04;3,58E-04;2,60E-04;2,96E-04;3,14E-04;3,02E-04;3,73E-04;1,73E-04;3,80E-04;3,67E-04;3,50E-04
718;3,78E-04;1,69E-04;3,45E-05;1,47E-04;1,07E-04;6,41E-05;1,61E-05;4,67E-27;3,54E-04;3,51E-04;3,39E-04;3,48E-04;3,27E-04;3,40E-04;3,36E-04;3,32E-04;2,49E-04;2,83E-04;2,97E-04;2,86E-04;3,48E-04;1,70E-04;3,54E-04;3,43E-04;3,32E-04
720;3,57E-04;1,69E-04;3,69E-05;1,47E-04;1,11E-04;6,64E-05;1,92E-05;4,80E-27;3,33E-04;3,28E-04;3,21E-04;3,23E-04;3,08E-04;3,21E-04;3,15E-04;3,11E-04;2,36E-04;2,68E-04;2,85E-04;2,71E-04;3,27E-04;1,66E-04;3,31E-04;3,22E-04;3,11E-04
722;3,37E-04;1,67E-04;4,25E-05;1,49E-04;1,11E-04;6,45E-05;2,10E-05;4,94E-27;3,14E-04;3,09E-04;3,03E-04;3,07E-04;2,90E-04;3,04E-04;3,00E-04;2,93E-04;2,25E-04;2,55E-04;2,73E-04;2,58E-04;3,10E-04;1,64E-04;3,09E-04;3,04E-04;2,94E-04
724;3,18E-04;1,64E-04;4,40E-05;1,46E-04;1,12E-04;6,45E-05;2,31E-05;1,72E-06;2,96E-04;2,90E-04;2,88E-04;2,86E-04;2,74E-04;2,85E-04;2,81E-04;2,75E-04;2,15E-04;2,44E-04;2,60E-04;2,47E-04;2,93E-04;1,60E-04;2,88E-04;2,86E-04;2,80E-04
726;2,92E-04;1,61E-04;4,64E-05;1,46E-04;1,15E-04;6,73E-05;2,33E-05;4,00E-06;2,69E-04;2,72E-04;2,69E-04;2,65E-04;2,62E-04;2,67E-04;2,63E-04;2,56E-04;2,03E-04;2,31E-04;2,42E-04;2,33E-04;2,77E-04;1,53E-04;2,68E-04;2,65E-04;2,61E-04
728;2,73E-04;1,57E-04;4,96E-05;1,43E-04;1,13E-04;6,63E-05;2,37E-05;6,32E-06;2,54E-04;2,56E-04;2,55E-04;2,54E-04;2,46E-04;2,49E-04;2,47E-04;2,43E-04;1,94E-04;2,19E-04;2,33E-04;2,21E-04;2,59E-04;1,48E-04;2,54E-04;2,50E-04;2,44E-04
730;2,58E-04;1,54E-04;5,04E-05;1,40E-04;1,10E-04;6,45E-05;3,34E-05;6,40E-06;2,42E-04;2,42E-04;2,42E-04;2,41E-04;2,31E-04;2,35E-04;2,36E-04;2,27E-04;1,83E-04;2,09E-04;2,21E-04;2,09E-04;2,47E-04;1,46E-04;2,36E-04;2,36E-04;2,28E-04
732;2,40E-04;1,48E-04;5,35E-05;1,37E-04;1,10E-04;6,64E-05;3,43E-05;6,75E-06;2,24E-04;2,27E-04;2,29E-04;2,27E-04;2,16E-04;2,19E-04;2,21E-04;2,14E-04;1,74E-04;2,02E-04;2,09E-04;2,03E-04;2,33E-04;1,36E-04;2,24E-04;2,20E-04;2,17E-04
734;2,25E-04;1,36E-04;5,12E-05;1,34E-04;1,06E-04;6,69E-05;3,43E-05;9,76E-06;2,08E-04;2,13E-04;2,17E-04;2,13E-04;2,05E-04;2,06E-04;2,11E-04;2,02E-04;1,64E-04;1,95E-04;1,97E-04;1,91E-04;2,19E-04;1,32E-04;2,08E-04;2,07E-04;2,05E-04
736;2,09E-04;1,34E-04;5,17E-05;1,30E-04;1,02E-04;6,65E-05;3,63E-05;1,17E-05;1,94E-04;2,01E-04;2,02E-04;2,00E-04;1,93E-04;1,91E-04;1,96E-04;1,90E-04;1,54E-04;1,82E-04;1,87E-04;1,82E-04;2,06E-04;1,26E-04;1,99E-04;1,93E-04;1,91E-04
738;1,97E-04;1,29E-04;5,49E-05;1,26E-04;1,01E-04;6,48E-05;3,85E-05;1,51E-05;1,85E-04;1,90E-04;1,88E-04;1,91E-04;1,82E-04;1,79E-04;1,85E-04;1,78E-04;1,44E-04;1,75E-04;1,79E-04;1,75E-04;1,93E-04;1,18E-04;1,92E-04;1,78E-04;1,76E-04
740;1,83E-04;1,25E-04;5,29E-05;1,22E-04;9,75E-05;6,54E-05;4,12E-05;1,78E-05;1,66E-04;1,77E-04;1,77E-04;1,82E-04;1,74E-04;1,67E-04;1,77E-04;1,69E-04;1,39E-04;1,69E-04;1,69E-04;1,71E-04;1,86E-04;1,13E-04;1,81E-04;1,66E-04;1,65E-04
742;1,67E-04;1,14E-04;5,23E-05;1,11E-04;9,25E-05;6,11E-05;4,40E-05;1,89E-05;1,52E-04;1,66E-04;1,72E-04;1,69E-04;1,61E-04;1,58E-04;1,67E-04;1,59E-04;1,26E-04;1,58E-04;1,58E-04;1,58E-04;1,75E-04;1,04E-04;1,66E-04;1,53E-04;1,54E-04
744;1,59E-04;1,12E-04;4,86E-05;1,08E-04;8,64E-05;6,10E-05;3,80E-05;2,01E-05;1,47E-04;1,55E-04;1,58E-04;1,60E-04;1,50E-04;1,46E-04;1,55E-04;1,50E-04;1,21E-04;1,50E-04;1,54E-04;1,50E-04;1,67E-04;9,91E-05;1,61E-04;1,41E-04;1,41E-04
746;1,48E-04;1,09E-04;4,75E-05;1,03E-04;8,19E-05;5,87E-05;4,20E-05;2,27E-05;1,34E-04;1,44E-04;1,47E-04;1,51E-04;1,45E-04;1,38E-04;1,43E-04;1,43E-04;1,14E-04;1,40E-04;1,44E-04;1,42E-04;1,61E-04;9,61E-05;1,54E-04;1,30E-04;1,34E-04
748;1,38E-04;1,02E-04;5,03E-05;9,89E-05;8,08E-05;5,68E-05;4,26E-05;2,54E-05;1,25E-04;1,34E-04;1,38E-04;1,43E-04;1,38E-04;1,30E-04;1,35E-04;1,35E-04;1,08E-04;1,29E-04;1,41E-04;1,37E-04;1,51E-04;8,52E-05;1,48E-04;1,22E-04;1,24E-04
750;1,30E-04;9,39E-05;4,66E-05;9,18E-05;7,65E-05;5,88E-05;4,33E-05;3,31E-05;1,19E-04;1,26E-04;1,30E-04;1,40E-04;1,24E-04;1,15E-04;1,30E-04;1,17E-04;1,01E-04;1,24E-04;1,38E-04;1,32E-04;1,39E-04;7,77E-05;1,40E-04;1,14E-04;1,09E-04
752;1,18E-04;9,17E-05;4,85E-05;8,62E-05;7,20E-05;5,70E-05;3,64E-05;3,13E-05;1,12E-04;1,20E-04;1,20E-04;1,29E-04;1,20E-04;1,07E-04;1,17E-04;1,12E-04;9,49E-05;1,17E-04;1,28E-04;1,28E-04;1,37E-04;7,89E-05;1,36E-04;1,05E-04;1,04E-04
754;1,09E-04;8,53E-05;4,69E-05;8,43E-05;6,99E-05;5,17E-05;3,70E-05;3,11E-05;1,00E-04;1,11E-04;1,16E-04;1,20E-04;1,12E-04;9,88E-05;1,07E-04;1,11E-04;9,02E-05;1,12E-04;1,17E-04;1,21E-04;1,29E-04;7,29E-05;1,33E-04;9,35E-05;9,33E-05
756;1,02E-04;8,40E-05;4,36E-05;7,44E-05;5,95E-05;5,09E-05;4,24E-05;3,38E-05;9,09E-05;1,01E-04;1,04E-04;1,15E-04;1,06E-04;9,37E-05;9,80E-05;1,05E-04;8,24E-05;1,05E-04;1,14E-04;1,17E-04;1,23E-04;6,67E-05;1,24E-04;8,80E-05;8,04E-05
758;8,93E-05;7,86E-05;4,11E-05;6,95E-05;6,13E-05;4,12E-05;4,07E-05;3,86E-05;7,96E-05;8,92E-05;9,78E-05;9,99E-05;1,03E-04;8,57E-05;9,15E-05;8,96E-05;7,28E-05;8,99E-05;1,02E-04;1,04E-04;1,14E-04;6,05E-05;1,20E-04;7,36E-05;7,94E-05
760;7,99E-05;7,83E-05;4,23E-05;6,18E-05;5,48E-05;3,78E-05;3,35E-05;3,50E-05;6,77E-05;8,43E-05;8,23E-05;8,96E-05;9,16E-05;7,57E-05;7,44E-05;8,13E-05;6,09E-05;8,40E-05;9,63E-05;1,05E-04;1,07E-04;5,65E-05;1,12E-04;6,52E-05;6,45E-05
762;7,22E-05;7,64E-05;3,34E-05;5,61E-05;4,45E-05;3,67E-05;3,00E-05;3,54E-05;6,29E-05;7,57E-05;8,36E-05;8,50E-05;8,55E-05;7,48E-05;7,26E-05;7,11E-05;5,80E-05;7,93E-05;8,81E-05;9,56E-05;9,65E-05;4,94E-05;1,06E-04;5,98E-05;6,01E-05
764;6,14E-05;7,44E-05;3,55E-05;4,98E-05;3,95E-05;3,54E-05;3,16E-05;4,20E-05;4,99E-05;7,40E-05;7,22E-05;7,30E-05;8,13E-05;7,35E-05;6,17E-05;6,51E-05;4,90E-05;6,51E-05;8,36E-05;9,30E-05;9,13E-05;4,33E-05;1,06E-04;5,32E-05;4,84E-05
766;6,00E-05;7,22E-05;3,06E-05;4,53E-05;4,33E-05;3,35E-05;3,12E-05;4,18E-05;4,19E-05;6,40E-05;6,82E-05;7,33E-05;7,65E-05;6,51E-05;6,15E-05;5,65E-05;4,48E-05;6,10E-05;8,35E-05;8,69E-05;8,69E-05;4,19E-05;1,02E-04;4,75E-05;3,63E-05
768;5,17E-05;6,88E-05;3,17E-05;3,60E-05;3,14E-05;2,45E-05;1,62E-05;4,13E-05;2,78E-05;5,81E-05;6,16E-05;6,32E-05;7,29E-05;6,52E-05;5,36E-05;5,03E-05;3,49E-05;5,71E-05;7,31E-05;7,70E-05;8,18E-05;3,37E-05;9,67E-05;3,79E-05;3,35E-05
770;4,41E-05;6,30E-05;2,90E-05;3,24E-05;3,01E-05;1,93E-05;7,88E-06;3,88E-05;2,89E-05;5,03E-05;5,22E-05;5,38E-05;6,10E-05;5,48E-05;4,75E-05;4,60E-05;3,33E-05;4,39E-05;6,42E-05;7,13E-05;6,57E-05;2,26E-05;8,74E-05;2,22E-05;2,56E-05
772;3,67E-05;6,64E-05;2,77E-05;2,82E-05;2,79E-05;2,33E-05;1,32E-05;4,41E-05;2,42E-05;4,47E-05;4,69E-05;4,98E-05;5,95E-05;5,20E-05;3,34E-05;3,24E-05;2,73E-05;2,66E-05;6,36E-05;6,55E-05;5,91E-05;2,37E-05;8,44E-05;2,42E-05;1,02E-05
774;2,64E-05;7,17E-05;2,34E-05;2,68E-05;2,81E-05;1,66E-05;1,87E-05;3,94E-05;1,23E-05;4,22E-05;3,78E-05;5,29E-05;5,27E-05;5,04E-05;2,80E-05;1,99E-05;2,48E-05;2,44E-05;5,86E-05;5,46E-05;4,59E-05;1,07E-05;8,46E-05;2,69E-05;5,47E-06
776;1,37E-05;6,41E-05;1,72E-05;3,15E-05;1,38E-05;4,59E-06;9,58E-07;3,59E-05;3,11E-06;3,78E-05;3,14E-05;4,14E-05;4,89E-05;4,82E-05;2,98E-05;1,07E-05;1,10E-05;2,35E-05;5,66E-05;4,65E-05;4,14E-05;1,32E-05;7,75E-05;1,26E-05;6,20E-06
778;6,00E-06;5,86E-05;5,53E-06;1,98E-05;9,11E-06;3,31E-06;1,67E-26;4,62E-05;7,52E-06;3,02E-05;2,52E-05;3,11E-05;5,04E-05;3,69E-05;1,35E-05;1,58E-06;1,28E-07;1,22E-05;5,63E-05;4,28E-05;3,23E-05;3,38E-06;6,91E-05;9,11E-06;2,18E-06
780;5,61E-08;6,00E-05;9,85E-06;2,09E-05;2,25E-06;9,85E-06;1,79E-26;4,07E-05;1,43E-07;1,51E-05;1,76E-05;2,40E-05;3,42E-05;3,77E-05;6,88E-06;1,79E-26;4,81E-07;1,44E-07;5,49E-05;4,34E-05;1,79E-05;1,79E-26;5,92E-05;1,94E-05;1,79E-26
